"datetime";"ipsrc";"ipdst";"dstport";"proto";"action";"policyid"
"2023-03-07 05:44:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:44:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:44:41";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:44:41";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:45:25";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:45:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:45:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:45:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:45:26";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:45:26";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:10";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:46:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:10";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:11";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:11";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:55";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:46:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:55";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:56";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:46:56";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:47:40";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:47:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:47:40";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:47:41";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:47:41";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:47:41";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-07 05:52:08";"51.144.164.215";"10.188.10.10";"46028";"TCP";"Deny";"34"
"2023-03-07 05:52:08";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
